Comment,Designator,Footprint,JLCPCB Part #
"Buchsenleiste 2x20 RM 2,54 gerade, Hoehe 8,5 mm (ZHOURI 2.54-2*20)",J1,PinSocket_2x20_P2.54mm_Vertical,C2977589
"Stiftleiste 2x20 RM 2,54 gerade, Steckstift 6 mm (BOOMELE 2.54mm 2*20P)",J2,PinHeader_2x20_P2.54mm_Vertical,C50980
